Product Name,Price,quantity
Onion (Pyaz),₹53,(0.95-1.05) kg
Potato - New Crop (Aloo),₹27,1 piece (400-600 g)
Cauliflower (Phool Gobhi),₹14,(220-250) g
Lemon,₹34,250 g
Green Capsicum (Shimla Mirch),₹23,(500-600) g
Desi Tomato (Tamatar),₹18,(180-200) g
English Cucumber (Kheera),₹24,250 g
Button Mushroom,₹56,200 g
French Beans 250 g,₹17,(260-275) g
Garlic (Lehsun),₹53,1 piece (400-600 g)
Green Peas (Matar),₹15,(450-600) g
Lady Finger (Bhindi),₹32,250 g
Cabbage (Patta Gobhi),₹15,(200-250) g
Radish (Mooli),₹13,500 g
Sweet Potato (450-600) g (Shakarkandi),₹61,250 g
Amla (Amla),₹29,1 kg
